HourUTC;HourDK;PriceArea;SpotPriceDKK;SpotPriceEUR
2019-12-30 22:00:00;2019-12-30 23:00:00;DK2;181,729996;24,330000
2019-12-30 21:00:00;2019-12-30 22:00:00;DK2;216,320007;28,959999
2019-12-30 20:00:00;2019-12-30 21:00:00;DK2;221,619995;29,670000
2019-12-30 19:00:00;2019-12-30 20:00:00;DK2;229,160004;30,680000
2019-12-30 18:00:00;2019-12-30 19:00:00;DK2;235,889999;31,580000
2019-12-30 17:00:00;2019-12-30 18:00:00;DK2;257,170013;34,430000
2019-12-30 16:00:00;2019-12-30 17:00:00;DK2;258,440002;34,599998
2019-12-30 15:00:00;2019-12-30 16:00:00;DK2;256,950012;34,400002
2019-12-30 14:00:00;2019-12-30 15:00:00;DK2;250,380005;33,520000
2019-12-30 13:00:00;2019-12-30 14:00:00;DK2;236,259995;31,629999
2019-12-30 12:00:00;2019-12-30 13:00:00;DK2;228,639999;30,610001
2019-12-30 11:00:00;2019-12-30 12:00:00;DK2;226,330002;30,299999
2019-12-30 10:00:00;2019-12-30 11:00:00;DK2;220,720001;29,549999
2019-12-30 09:00:00;2019-12-30 10:00:00;DK2;217,059998;29,059999
2019-12-30 08:00:00;2019-12-30 09:00:00;DK2;238,279999;31,900000
2019-12-30 07:00:00;2019-12-30 08:00:00;DK2;239,320007;32,040001
2019-12-30 06:00:00;2019-12-30 07:00:00;DK2;226,919998;30,379999
2019-12-30 05:00:00;2019-12-30 06:00:00;DK2;200,929993;26,900000
2019-12-30 04:00:00;2019-12-30 05:00:00;DK2;122,720001;16,430000
2019-12-30 03:00:00;2019-12-30 04:00:00;DK2;35,930000;4,810000
2019-12-30 02:00:00;2019-12-30 03:00:00;DK2;10,460000;1,400000
2019-12-30 01:00:00;2019-12-30 02:00:00;DK2;46,009998;6,160000
2019-12-30 00:00:00;2019-12-30 01:00:00;DK2;88,440002;11,840000
2019-12-29 23:00:00;2019-12-30 00:00:00;DK2;82,690002;11,070000
2019-12-29 22:00:00;2019-12-29 23:00:00;DK2;155,809998;20,860001
2019-12-29 21:00:00;2019-12-29 22:00:00;DK2;190,919998;25,559999
2019-12-29 20:00:00;2019-12-29 21:00:00;DK2;224,229996;30,020000
2019-12-29 19:00:00;2019-12-29 20:00:00;DK2;229,990005;30,790001
2019-12-29 18:00:00;2019-12-29 19:00:00;DK2;243,059998;32,540001
2019-12-29 17:00:00;2019-12-29 18:00:00;DK2;249,110001;33,349998
2019-12-29 16:00:00;2019-12-29 17:00:00;DK2;253,889999;33,990002
2019-12-29 15:00:00;2019-12-29 16:00:00;DK2;252,020004;33,740002
2019-12-29 14:00:00;2019-12-29 15:00:00;DK2;245,449997;32,860001
2019-12-29 13:00:00;2019-12-29 14:00:00;DK2;230,059998;30,799999
2019-12-29 12:00:00;2019-12-29 13:00:00;DK2;228,639999;30,610001
2019-12-29 11:00:00;2019-12-29 12:00:00;DK2;239,250000;32,029999
2019-12-29 10:00:00;2019-12-29 11:00:00;DK2;231,029999;30,930000
2019-12-29 09:00:00;2019-12-29 10:00:00;DK2;228,570007;30,600000
2019-12-29 08:00:00;2019-12-29 09:00:00;DK2;224,380005;30,040001
2019-12-29 07:00:00;2019-12-29 08:00:00;DK2;205,559998;27,520000
2019-12-29 06:00:00;2019-12-29 07:00:00;DK2;187,479996;25,100000
2019-12-29 05:00:00;2019-12-29 06:00:00;DK2;169,710007;22,719999
2019-12-29 04:00:00;2019-12-29 05:00:00;DK2;159,179993;21,309999
2019-12-29 03:00:00;2019-12-29 04:00:00;DK2;156,639999;20,969999
2019-12-29 02:00:00;2019-12-29 03:00:00;DK2;170,679993;22,850000
2019-12-29 01:00:00;2019-12-29 02:00:00;DK2;201,080002;26,920000
2019-12-29 00:00:00;2019-12-29 01:00:00;DK2;209,889999;28,100000
2019-12-28 23:00:00;2019-12-29 00:00:00;DK2;228,570007;30,600000
2019-12-28 22:00:00;2019-12-28 23:00:00;DK2;233,949997;31,320000
2019-12-28 21:00:00;2019-12-28 22:00:00;DK2;250,990005;33,599998
2019-12-28 20:00:00;2019-12-28 21:00:00;DK2;262,489990;35,139999
2019-12-28 19:00:00;2019-12-28 20:00:00;DK2;261,220001;34,970001
2019-12-28 18:00:00;2019-12-28 19:00:00;DK2;265,549988;35,549999
2019-12-28 17:00:00;2019-12-28 18:00:00;DK2;270,850006;36,259998
2019-12-28 16:00:00;2019-12-28 17:00:00;DK2;279,970001;37,480000
2019-12-28 15:00:00;2019-12-28 16:00:00;DK2;281,839996;37,730000
